value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
941,039,39歳,006,日本人・男,00000,全国,1991000000,1991年,千人
934,039,39歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.8,039,39歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2015,040,40歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1012,040,40歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1003,040,40歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.0,040,40歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1999,040,40歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1004,040,40歳,006,日本人・男,00000,全国,1991000000,1991年,千人
995,040,40歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.9,040,40歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2175,041,41歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1092,041,41歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1083,041,41歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.8,041,41歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2160,041,41歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1084,041,41歳,006,日本人・男,00000,全国,1991000000,1991年,千人
1076,041,41歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.8,041,41歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2397,042,42歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1204,042,42歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1193,042,42歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.9,042,42歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2382,042,42歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1196,042,42歳,006,日本人・男,00000,全国,1991000000,1991年,千人
1186,042,42歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.9,042,42歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2389,043,43歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1200,043,43歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1189,043,43歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.9,043,43歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2374,043,43歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1192,043,43歳,006,日本人・男,00000,全国,1991000000,1991年,千人
1182,043,43歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.9,043,43歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2281,044,44歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1148,044,44歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1133,044,44歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.3,044,44歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2267,044,44歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1140,044,44歳,006,日本人・男,00000,全国,1991000000,1991年,千人
1127,044,44歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.2,044,44歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1433,045,45歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
719,045,45歳,002,総人口・男,00000,全国,1991000000,1991年,千人
714,045,45歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.6,045,45歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1421,045,45歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
712,045,45歳,006,日本人・男,00000,全国,1991000000,1991年,千人
709,045,45歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.5,045,45歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1547,046,46歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
770,046,46歳,002,総人口・男,00000,全国,1991000000,1991年,千人
777,046,46歳,003,総人口・女,00000,全国,1991000000,1991年,千人
99.1,046,46歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1536,046,46歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
764,046,46歳,006,日本人・男,00000,全国,1991000000,1991年,千人
