value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
6,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2023100000,2023年度,戸・件
291,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2023100000,2023年度,戸・件
20,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2023100000,2023年度,戸・件
60,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2023100000,2023年度,戸・件
77,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2023100000,2023年度,戸・件
27,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2023100000,2023年度,戸・件
83,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2023100000,2023年度,戸・件
18,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2023100000,2023年度,戸・件
353,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2023100000,2023年度,戸・件
232,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2023100000,2023年度,戸・件
16,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2023100000,2023年度,戸・件
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2023100000,2023年度,戸・件
