value,cat01,cat01_label,area,area_label,time,time_label
1.1,10900,前年（度、同期、同月）比（％）,00054,四国,29010000,2017年度
-2.9,10900,前年（度、同期、同月）比（％）,00054,四国,30000103,2018年 1 ～ 3 月
-3.8,10900,前年（度、同期、同月）比（％）,00054,四国,30000406,2018年 4 ～ 6 月
0.3,10900,前年（度、同期、同月）比（％）,00054,四国,30000709,2018年 7 ～ 9 月
1.9,10900,前年（度、同期、同月）比（％）,00054,四国,30001012,2018年10～12月
-1.6,10900,前年（度、同期、同月）比（％）,00054,四国,30000101,2018年1月
-1.3,10900,前年（度、同期、同月）比（％）,00054,四国,30000202,2018年2月
-5.6,10900,前年（度、同期、同月）比（％）,00054,四国,30000303,2018年3月
-4.1,10900,前年（度、同期、同月）比（％）,00054,四国,30000404,2018年4月
-3.1,10900,前年（度、同期、同月）比（％）,00054,四国,30000505,2018年5月
-4.2,10900,前年（度、同期、同月）比（％）,00054,四国,30000606,2018年6月
-0.2,10900,前年（度、同期、同月）比（％）,00054,四国,30000707,2018年7月
2.7,10900,前年（度、同期、同月）比（％）,00054,四国,30000808,2018年8月
-1.6,10900,前年（度、同期、同月）比（％）,00054,四国,30000909,2018年9月
2.4,10900,前年（度、同期、同月）比（％）,00054,四国,30001010,2018年10月
1.5,10900,前年（度、同期、同月）比（％）,00054,四国,30001111,2018年11月
1.7,10900,前年（度、同期、同月）比（％）,00054,四国,30001212,2018年12月
3.8,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,28000000,2016年
2.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,29000000,2017年
-0.7,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000000,2018年
3.8,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,28010000,2016年度
1.1,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,29010000,2017年度
-1.1,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000103,2018年 1 ～ 3 月
0.4,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000406,2018年 4 ～ 6 月
-0.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000709,2018年 7 ～ 9 月
-1.2,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30001012,2018年10～12月
-0.2,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000101,2018年1月
-1.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000202,2018年2月
-1.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000303,2018年3月
1.1,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000404,2018年4月
0.7,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000505,2018年5月
-0.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000606,2018年6月
-1.8,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000707,2018年7月
0.5,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000808,2018年8月
-0.5,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30000909,2018年9月
1.6,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30001010,2018年10月
-2.1,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30001111,2018年11月
-2.8,10900,前年（度、同期、同月）比（％）,00059,九州・沖縄,30001212,2018年12月
