value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
629,002,事業所数（事業内容等不詳を含む）,001,総数,03303,岩手町,2009000000,2009年
1606,002,事業所数（事業内容等不詳を含む）,001,総数,03305,滝沢村,2009000000,2009年
2627,002,事業所数（事業内容等不詳を含む）,001,総数,03320,紫波郡,2009000000,2009年
1271,002,事業所数（事業内容等不詳を含む）,001,総数,03321,紫波町,2009000000,2009年
1356,002,事業所数（事業内容等不詳を含む）,001,総数,03322,矢巾町,2009000000,2009年
449,002,事業所数（事業内容等不詳を含む）,001,総数,03360,和賀郡,2009000000,2009年
449,002,事業所数（事業内容等不詳を含む）,001,総数,03366,西和賀町,2009000000,2009年
598,002,事業所数（事業内容等不詳を含む）,001,総数,03380,胆沢郡,2009000000,2009年
598,002,事業所数（事業内容等不詳を含む）,001,総数,03381,金ケ崎町,2009000000,2009年
468,002,事業所数（事業内容等不詳を含む）,001,総数,03400,西磐井郡,2009000000,2009年
468,002,事業所数（事業内容等不詳を含む）,001,総数,03402,平泉町,2009000000,2009年
382,002,事業所数（事業内容等不詳を含む）,001,総数,03420,東磐井郡,2009000000,2009年
382,002,事業所数（事業内容等不詳を含む）,001,総数,03422,藤沢町,2009000000,2009年
291,002,事業所数（事業内容等不詳を含む）,001,総数,03440,気仙郡,2009000000,2009年
291,002,事業所数（事業内容等不詳を含む）,001,総数,03441,住田町,2009000000,2009年
803,002,事業所数（事業内容等不詳を含む）,001,総数,03460,上閉伊郡,2009000000,2009年
803,002,事業所数（事業内容等不詳を含む）,001,総数,03461,大槌町,2009000000,2009年
2111,002,事業所数（事業内容等不詳を含む）,001,総数,03480,下閉伊郡,2009000000,2009年
921,002,事業所数（事業内容等不詳を含む）,001,総数,03482,山田町,2009000000,2009年
658,002,事業所数（事業内容等不詳を含む）,001,総数,03483,岩泉町,2009000000,2009年
181,002,事業所数（事業内容等不詳を含む）,001,総数,03484,田野畑村,2009000000,2009年
185,002,事業所数（事業内容等不詳を含む）,001,総数,03485,普代村,2009000000,2009年
166,002,事業所数（事業内容等不詳を含む）,001,総数,03487,川井村,2009000000,2009年
1755,002,事業所数（事業内容等不詳を含む）,001,総数,03500,九戸郡,2009000000,2009年
472,002,事業所数（事業内容等不詳を含む）,001,総数,03501,軽米町,2009000000,2009年
218,002,事業所数（事業内容等不詳を含む）,001,総数,03503,野田村,2009000000,2009年
280,002,事業所数（事業内容等不詳を含む）,001,総数,03506,九戸村,2009000000,2009年
785,002,事業所数（事業内容等不詳を含む）,001,総数,03507,洋野町,2009000000,2009年
694,002,事業所数（事業内容等不詳を含む）,001,総数,03520,二戸郡,2009000000,2009年
694,002,事業所数（事業内容等不詳を含む）,001,総数,03524,一戸町,2009000000,2009年
114615,002,事業所数（事業内容等不詳を含む）,001,総数,04000,宮城県,2009000000,2009年
51864,002,事業所数（事業内容等不詳を含む）,001,総数,04100,仙台市,2009000000,2009年
20501,002,事業所数（事業内容等不詳を含む）,001,総数,04101,青葉区,2009000000,2009年
9807,002,事業所数（事業内容等不詳を含む）,001,総数,04102,宮城野区,2009000000,2009年
7523,002,事業所数（事業内容等不詳を含む）,001,総数,04103,若林区,2009000000,2009年
6479,002,事業所数（事業内容等不詳を含む）,001,総数,04104,太白区,2009000000,2009年
7554,002,事業所数（事業内容等不詳を含む）,001,総数,04105,泉区,2009000000,2009年
