value,tab,tab_label,cat01,cat01_label,time,time_label
15664,831,事業所数（事業内容等不詳を含む）,03201,盛岡市,2012000000,2012年
2623,831,事業所数（事業内容等不詳を含む）,03202,宮古市,2012000000,2012年
2042,831,事業所数（事業内容等不詳を含む）,03203,大船渡市,2012000000,2012年
4396,831,事業所数（事業内容等不詳を含む）,03205,花巻市,2012000000,2012年
4447,831,事業所数（事業内容等不詳を含む）,03206,北上市,2012000000,2012年
1915,831,事業所数（事業内容等不詳を含む）,03207,久慈市,2012000000,2012年
1443,831,事業所数（事業内容等不詳を含む）,03208,遠野市,2012000000,2012年
5727,831,事業所数（事業内容等不詳を含む）,03209,一関市,2012000000,2012年
634,831,事業所数（事業内容等不詳を含む）,03210,陸前高田市,2012000000,2012年
1706,831,事業所数（事業内容等不詳を含む）,03211,釜石市,2012000000,2012年
1442,831,事業所数（事業内容等不詳を含む）,03213,二戸市,2012000000,2012年
1263,831,事業所数（事業内容等不詳を含む）,03214,八幡平市,2012000000,2012年
5841,831,事業所数（事業内容等不詳を含む）,03215,奥州市,2012000000,2012年
3028,831,事業所数（事業内容等不詳を含む）,03300,岩手郡,2012000000,2012年
743,831,事業所数（事業内容等不詳を含む）,03301,雫石町,2012000000,2012年
305,831,事業所数（事業内容等不詳を含む）,03302,葛巻町,2012000000,2012年
534,831,事業所数（事業内容等不詳を含む）,03303,岩手町,2012000000,2012年
1446,831,事業所数（事業内容等不詳を含む）,03305,滝沢村,2012000000,2012年
2373,831,事業所数（事業内容等不詳を含む）,03320,紫波郡,2012000000,2012年
1096,831,事業所数（事業内容等不詳を含む）,03321,紫波町,2012000000,2012年
1277,831,事業所数（事業内容等不詳を含む）,03322,矢巾町,2012000000,2012年
365,831,事業所数（事業内容等不詳を含む）,03360,和賀郡,2012000000,2012年
365,831,事業所数（事業内容等不詳を含む）,03366,西和賀町,2012000000,2012年
536,831,事業所数（事業内容等不詳を含む）,03380,胆沢郡,2012000000,2012年
536,831,事業所数（事業内容等不詳を含む）,03381,金ケ崎町,2012000000,2012年
436,831,事業所数（事業内容等不詳を含む）,03400,西磐井郡,2012000000,2012年
436,831,事業所数（事業内容等不詳を含む）,03402,平泉町,2012000000,2012年
254,831,事業所数（事業内容等不詳を含む）,03440,気仙郡,2012000000,2012年
254,831,事業所数（事業内容等不詳を含む）,03441,住田町,2012000000,2012年
206,831,事業所数（事業内容等不詳を含む）,03460,上閉伊郡,2012000000,2012年
206,831,事業所数（事業内容等不詳を含む）,03461,大槌町,2012000000,2012年
1156,831,事業所数（事業内容等不詳を含む）,03480,下閉伊郡,2012000000,2012年
342,831,事業所数（事業内容等不詳を含む）,03482,山田町,2012000000,2012年
532,831,事業所数（事業内容等不詳を含む）,03483,岩泉町,2012000000,2012年
130,831,事業所数（事業内容等不詳を含む）,03484,田野畑村,2012000000,2012年
152,831,事業所数（事業内容等不詳を含む）,03485,普代村,2012000000,2012年
1452,831,事業所数（事業内容等不詳を含む）,03500,九戸郡,2012000000,2012年
411,831,事業所数（事業内容等不詳を含む）,03501,軽米町,2012000000,2012年
158,831,事業所数（事業内容等不詳を含む）,03503,野田村,2012000000,2012年
234,831,事業所数（事業内容等不詳を含む）,03506,九戸村,2012000000,2012年
649,831,事業所数（事業内容等不詳を含む）,03507,洋野町,2012000000,2012年
588,831,事業所数（事業内容等不詳を含む）,03520,二戸郡,2012000000,2012年
588,831,事業所数（事業内容等不詳を含む）,03524,一戸町,2012000000,2012年
98190,831,事業所数（事業内容等不詳を含む）,04000,宮城県,2012000000,2012年
49028,831,事業所数（事業内容等不詳を含む）,04100,仙台市,2012000000,2012年
20203,831,事業所数（事業内容等不詳を含む）,04101,青葉区,2012000000,2012年
8947,831,事業所数（事業内容等不詳を含む）,04102,宮城野区,2012000000,2012年
6755,831,事業所数（事業内容等不詳を含む）,04103,若林区,2012000000,2012年
6142,831,事業所数（事業内容等不詳を含む）,04104,太白区,2012000000,2012年
6981,831,事業所数（事業内容等不詳を含む）,04105,泉区,2012000000,2012年
5763,831,事業所数（事業内容等不詳を含む）,04202,石巻市,2012000000,2012年
2728,831,事業所数（事業内容等不詳を含む）,04203,塩竈市,2012000000,2012年
2627,831,事業所数（事業内容等不詳を含む）,04205,気仙沼市,2012000000,2012年
1593,831,事業所数（事業内容等不詳を含む）,04206,白石市,2012000000,2012年
