value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
959602,100,売上（収入）金額,140,3千万円超～5千万円,160,小売業,2014100000,2014年度,百万円
185609,100,売上（収入）金額,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
190776,100,売上（収入）金額,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
151712,100,売上（収入）金額,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
436867,100,売上（収入）金額,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
433578,100,売上（収入）金額,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
478399,100,売上（収入）金額,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
722373,100,売上（収入）金額,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
663036,100,売上（収入）金額,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
505122,100,売上（収入）金額,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
154693,100,売上（収入）金額,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
122925,100,売上（収入）金額,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
103493,100,売上（収入）金額,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
105697,100,売上（収入）金額,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
145927,100,売上（収入）金額,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
114639,100,売上（収入）金額,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
32631,100,売上（収入）金額,210,5千万円超,140,運輸業，郵便業,2015100000,2015年度,百万円
406725,100,売上（収入）金額,210,5千万円超,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
3163732,100,売上（収入）金額,150,5千万円超～1億円,100,合計,2016100000,2016年度,百万円
3780215,100,売上（収入）金額,150,5千万円超～1億円,100,合計,2015100000,2015年度,百万円
3995917,100,売上（収入）金額,150,5千万円超～1億円,100,合計,2014100000,2014年度,百万円
497939,100,売上（収入）金額,150,5千万円超～1億円,110,建設業,2016100000,2016年度,百万円
455851,100,売上（収入）金額,150,5千万円超～1億円,110,建設業,2015100000,2015年度,百万円
393278,100,売上（収入）金額,150,5千万円超～1億円,110,建設業,2014100000,2014年度,百万円
302024,100,売上（収入）金額,150,5千万円超～1億円,120,製造業,2016100000,2016年度,百万円
191079,100,売上（収入）金額,150,5千万円超～1億円,120,製造業,2015100000,2015年度,百万円
243696,100,売上（収入）金額,150,5千万円超～1億円,120,製造業,2014100000,2014年度,百万円
x,100,売上（収入）金額,150,5千万円超～1億円,130,情報通信業,2016100000,2016年度,百万円
765,100,売上（収入）金額,150,5千万円超～1億円,130,情報通信業,2015100000,2015年度,百万円
710,100,売上（収入）金額,150,5千万円超～1億円,130,情報通信業,2014100000,2014年度,百万円
x,100,売上（収入）金額,150,5千万円超～1億円,140,運輸業，郵便業,2016100000,2016年度,百万円
13663,100,売上（収入）金額,150,5千万円超～1億円,140,運輸業，郵便業,2014100000,2014年度,百万円
353954,100,売上（収入）金額,150,5千万円超～1億円,150,卸売業,2016100000,2016年度,百万円
253185,100,売上（収入）金額,150,5千万円超～1億円,150,卸売業,2015100000,2015年度,百万円
263961,100,売上（収入）金額,150,5千万円超～1億円,150,卸売業,2014100000,2014年度,百万円
717173,100,売上（収入）金額,150,5千万円超～1億円,160,小売業,2016100000,2016年度,百万円
1374138,100,売上（収入）金額,150,5千万円超～1億円,160,小売業,2015100000,2015年度,百万円
1202322,100,売上（収入）金額,150,5千万円超～1億円,160,小売業,2014100000,2014年度,百万円
151882,100,売上（収入）金額,150,5千万円超～1億円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
180614,100,売上（収入）金額,150,5千万円超～1億円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
162010,100,売上（収入）金額,150,5千万円超～1億円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
426653,100,売上（収入）金額,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
635887,100,売上（収入）金額,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
644281,100,売上（収入）金額,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
276210,100,売上（収入）金額,150,5千万円超～1億円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
863466,100,売上（収入）金額,150,5千万円超～1億円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
43565,100,売上（収入）金額,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
77700,100,売上（収入）金額,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
58819,100,売上（収入）金額,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
348520,100,売上（収入）金額,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
190216,100,売上（収入）金額,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
149711,100,売上（収入）金額,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
462099,100,売上（収入）金額,190,1億円超,150,卸売業,2014100000,2014年度,百万円
137538,100,売上（収入）金額,190,1億円超,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
4179781,100,売上（収入）金額,160,1億円超～5億円,100,合計,2016100000,2016年度,百万円
3927518,100,売上（収入）金額,160,1億円超～5億円,100,合計,2015100000,2015年度,百万円
4234400,100,売上（収入）金額,160,1億円超～5億円,100,合計,2014100000,2014年度,百万円
329132,100,売上（収入）金額,160,1億円超～5億円,110,建設業,2016100000,2016年度,百万円
247972,100,売上（収入）金額,160,1億円超～5億円,110,建設業,2015100000,2015年度,百万円
331912,100,売上（収入）金額,160,1億円超～5億円,110,建設業,2014100000,2014年度,百万円
201967,100,売上（収入）金額,160,1億円超～5億円,120,製造業,2016100000,2016年度,百万円
152049,100,売上（収入）金額,160,1億円超～5億円,120,製造業,2015100000,2015年度,百万円
171049,100,売上（収入）金額,160,1億円超～5億円,120,製造業,2014100000,2014年度,百万円
x,100,売上（収入）金額,160,1億円超～5億円,130,情報通信業,2016100000,2016年度,百万円
653,100,売上（収入）金額,160,1億円超～5億円,130,情報通信業,2015100000,2015年度,百万円
1172,100,売上（収入）金額,160,1億円超～5億円,130,情報通信業,2014100000,2014年度,百万円
x,100,売上（収入）金額,160,1億円超～5億円,140,運輸業，郵便業,2016100000,2016年度,百万円
10294,100,売上（収入）金額,160,1億円超～5億円,140,運輸業，郵便業,2014100000,2014年度,百万円
548191,100,売上（収入）金額,160,1億円超～5億円,150,卸売業,2016100000,2016年度,百万円
