value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
1164,000,男女計,002,　　仕事が主な者,208,40～44歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
727,000,男女計,002,　　仕事が主な者,208,40～44歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
4,000,男女計,002,　　仕事が主な者,208,40～44歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
358,000,男女計,002,　　仕事が主な者,208,40～44歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5881,000,男女計,002,　　仕事が主な者,209,45～49歳,000,総数,00000,全国,1987000000,1987年,千人
5538,000,男女計,002,　　仕事が主な者,209,45～49歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3870,000,男女計,002,　　仕事が主な者,209,45～49歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1251,000,男女計,002,　　仕事が主な者,209,45～49歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
410,000,男女計,002,　　仕事が主な者,209,45～49歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
7,000,男女計,002,　　仕事が主な者,209,45～49歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
342,000,男女計,002,　　仕事が主な者,209,45～49歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5415,000,男女計,002,　　仕事が主な者,210,50～54歳,000,総数,00000,全国,1987000000,1987年,千人
5065,000,男女計,002,　　仕事が主な者,210,50～54歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3687,000,男女計,002,　　仕事が主な者,210,50～54歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1138,000,男女計,002,　　仕事が主な者,210,50～54歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
235,000,男女計,002,　　仕事が主な者,210,50～54歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
5,000,男女計,002,　　仕事が主な者,210,50～54歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
350,000,男女計,002,　　仕事が主な者,210,50～54歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
4286,000,男女計,002,　　仕事が主な者,211,55～59歳,000,総数,00000,全国,1987000000,1987年,千人
3980,000,男女計,002,　　仕事が主な者,211,55～59歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3054,000,男女計,002,　　仕事が主な者,211,55～59歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
743,000,男女計,002,　　仕事が主な者,211,55～59歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
176,000,男女計,002,　　仕事が主な者,211,55～59歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,002,　　仕事が主な者,211,55～59歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
306,000,男女計,002,　　仕事が主な者,211,55～59歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
2471,000,男女計,002,　　仕事が主な者,212,60～64歳,000,総数,00000,全国,1987000000,1987年,千人
2279,000,男女計,002,　　仕事が主な者,212,60～64歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
