value,cat01,cat01_label,area,area_label
2,0000004220,公立【市（区）立】（分校）,18000,福井県
9,0000004220,公立【市（区）立】（分校）,19000,山梨県
3,0000004220,公立【市（区）立】（分校）,20000,長野県
0,0000004220,公立【市（区）立】（分校）,21000,岐阜県
6,0000004220,公立【市（区）立】（分校）,22000,静岡県
4,0000004220,公立【市（区）立】（分校）,23000,愛知県
12,0000004220,公立【市（区）立】（分校）,24000,三重県
4,0000004220,公立【市（区）立】（分校）,25000,滋賀県
3,0000004220,公立【市（区）立】（分校）,26000,京都府
6,0000004220,公立【市（区）立】（分校）,27000,大阪府
2,0000004220,公立【市（区）立】（分校）,28000,兵庫県
0,0000004220,公立【市（区）立】（分校）,29000,奈良県
11,0000004220,公立【市（区）立】（分校）,30000,和歌山県
2,0000004220,公立【市（区）立】（分校）,31000,鳥取県
7,0000004220,公立【市（区）立】（分校）,32000,島根県
8,0000004220,公立【市（区）立】（分校）,33000,岡山県
2,0000004220,公立【市（区）立】（分校）,34000,広島県
5,0000004220,公立【市（区）立】（分校）,35000,山口県
3,0000004220,公立【市（区）立】（分校）,36000,徳島県
5,0000004220,公立【市（区）立】（分校）,37000,香川県
3,0000004220,公立【市（区）立】（分校）,38000,愛媛県
4,0000004220,公立【市（区）立】（分校）,39000,高知県
6,0000004220,公立【市（区）立】（分校）,40000,福岡県
16,0000004220,公立【市（区）立】（分校）,41000,佐賀県
27,0000004220,公立【市（区）立】（分校）,42000,長崎県
14,0000004220,公立【市（区）立】（分校）,43000,熊本県
11,0000004220,公立【市（区）立】（分校）,44000,大分県
6,0000004220,公立【市（区）立】（分校）,45000,宮崎県
1,0000004220,公立【市（区）立】（分校）,46000,鹿児島県
1,0000004220,公立【市（区）立】（分校）,47000,沖縄県
4115,0000004300,公立【町立】（計）,00000,全国
610,0000004300,公立【町立】（計）,01000,北海道
107,0000004300,公立【町立】（計）,02000,青森県
122,0000004300,公立【町立】（計）,03000,岩手県
121,0000004300,公立【町立】（計）,04000,宮城県
40,0000004300,公立【町立】（計）,05000,秋田県
117,0000004300,公立【町立】（計）,06000,山形県
148,0000004300,公立【町立】（計）,07000,福島県
60,0000004300,公立【町立】（計）,08000,茨城県
106,0000004300,公立【町立】（計）,09000,栃木県
73,0000004300,公立【町立】（計）,10000,群馬県
123,0000004300,公立【町立】（計）,11000,埼玉県
64,0000004300,公立【町立】（計）,12000,千葉県
19,0000004300,公立【町立】（計）,13000,東京都
52,0000004300,公立【町立】（計）,14000,神奈川県
36,0000004300,公立【町立】（計）,15000,新潟県
26,0000004300,公立【町立】（計）,16000,富山県
55,0000004300,公立【町立】（計）,17000,石川県
51,0000004300,公立【町立】（計）,18000,福井県
40,0000004300,公立【町立】（計）,19000,山梨県
72,0000004300,公立【町立】（計）,20000,長野県
79,0000004300,公立【町立】（計）,21000,岐阜県
62,0000004300,公立【町立】（計）,22000,静岡県
112,0000004300,公立【町立】（計）,23000,愛知県
77,0000004300,公立【町立】（計）,24000,三重県
34,0000004300,公立【町立】（計）,25000,滋賀県
50,0000004300,公立【町立】（計）,26000,京都府
33,0000004300,公立【町立】（計）,27000,大阪府
84,0000004300,公立【町立】（計）,28000,兵庫県
45,0000004300,公立【町立】（計）,29000,奈良県
137,0000004300,公立【町立】（計）,30000,和歌山県
73,0000004300,公立【町立】（計）,31000,鳥取県
66,0000004300,公立【町立】（計）,32000,島根県
