value,tab,tab_label,area,area_label,time,time_label,unit
90852,300,受注高,00043,東北地方,2013001111,2013年11月,百万円
82944,300,受注高,00043,東北地方,2013001010,2013年10月,百万円
215672,300,受注高,00043,東北地方,2013000909,2013年9月,百万円
170347,300,受注高,00043,東北地方,2013000808,2013年8月,百万円
65140,300,受注高,00043,東北地方,2013000707,2013年7月,百万円
129842,300,受注高,00043,東北地方,2013000606,2013年6月,百万円
73586,300,受注高,00043,東北地方,2013000505,2013年5月,百万円
58412,300,受注高,00043,東北地方,2013000404,2013年4月,百万円
268902,300,受注高,00043,東北地方,2013000303,2013年3月,百万円
83398,300,受注高,00043,東北地方,2013000202,2013年2月,百万円
56361,300,受注高,00043,東北地方,2013000101,2013年1月,百万円
92380,300,受注高,00043,東北地方,2012001212,2012年12月,百万円
84324,300,受注高,00043,東北地方,2012001111,2012年11月,百万円
43108,300,受注高,00043,東北地方,2012001010,2012年10月,百万円
78290,300,受注高,00043,東北地方,2012000909,2012年9月,百万円
62042,300,受注高,00043,東北地方,2012000808,2012年8月,百万円
93397,300,受注高,00043,東北地方,2012000707,2012年7月,百万円
71672,300,受注高,00043,東北地方,2012000606,2012年6月,百万円
90868,300,受注高,00043,東北地方,2012000505,2012年5月,百万円
48313,300,受注高,00043,東北地方,2012000404,2012年4月,百万円
203671,300,受注高,00043,東北地方,2012000303,2012年3月,百万円
60356,300,受注高,00043,東北地方,2012000202,2012年2月,百万円
52084,300,受注高,00043,東北地方,2012000101,2012年1月,百万円
108963,300,受注高,00043,東北地方,2011001212,2011年12月,百万円
56880,300,受注高,00043,東北地方,2011001111,2011年11月,百万円
127341,300,受注高,00043,東北地方,2011001010,2011年10月,百万円
246451,300,受注高,00043,東北地方,2011000909,2011年9月,百万円
72097,300,受注高,00043,東北地方,2011000808,2011年8月,百万円
55412,300,受注高,00043,東北地方,2011000707,2011年7月,百万円
73972,300,受注高,00043,東北地方,2011000606,2011年6月,百万円
40503,300,受注高,00043,東北地方,2011000505,2011年5月,百万円
24320,300,受注高,00043,東北地方,2011000404,2011年4月,百万円
72595,300,受注高,00043,東北地方,2011000303,2011年3月,百万円
32001,300,受注高,00043,東北地方,2011000202,2011年2月,百万円
22045,300,受注高,00043,東北地方,2011000101,2011年1月,百万円
40917,300,受注高,00043,東北地方,2010001212,2010年12月,百万円
33877,300,受注高,00043,東北地方,2010001111,2010年11月,百万円
24920,300,受注高,00043,東北地方,2010001010,2010年10月,百万円
52588,300,受注高,00043,東北地方,2010000909,2010年9月,百万円
33301,300,受注高,00043,東北地方,2010000808,2010年8月,百万円
52388,300,受注高,00043,東北地方,2010000707,2010年7月,百万円
30141,300,受注高,00043,東北地方,2010000606,2010年6月,百万円
20627,300,受注高,00043,東北地方,2010000505,2010年5月,百万円
22546,300,受注高,00043,東北地方,2010000404,2010年4月,百万円
67941,300,受注高,00043,東北地方,2010000303,2010年3月,百万円
41208,300,受注高,00043,東北地方,2010000202,2010年2月,百万円
28192,300,受注高,00043,東北地方,2010000101,2010年1月,百万円
35515,300,受注高,00043,東北地方,2009001212,2009年12月,百万円
53561,300,受注高,00043,東北地方,2009001111,2009年11月,百万円
28457,300,受注高,00043,東北地方,2009001010,2009年10月,百万円
52517,300,受注高,00043,東北地方,2009000909,2009年9月,百万円
25378,300,受注高,00043,東北地方,2009000808,2009年8月,百万円
18384,300,受注高,00043,東北地方,2009000707,2009年7月,百万円
29238,300,受注高,00043,東北地方,2009000606,2009年6月,百万円
